nombre,tipo,pais,estado_region,ciudad,direccion_general,referencia,latitud,longitud,horario,telefono_publico,que_recibe,que_ofrece,fuente_url,fuente_nombre,fecha_verificacion,verificado_por,nivel_confianza,estado_verificacion,notas
"ACNUR Caracas","informacion","Venezuela","Distrito Capital","Caracas","Quinta Alida, Transversal 5 de Altamira, Caracas 1060","","","","","04241430025 / 04241414058","","Orientacion y apoyo para acceso a derechos y servicios a refugiados y solicitantes de asilo","https://help.unhcr.org/venezuela/donde-encontrar-ayuda-2/organismos-internacionales/","ACNUR Venezuela","2026-06-26","Codex","alto","verificado","Fuente ACNUR Help Venezuela; ultima actualizacion del sitio indicada como abril 2025."
"ACNUR San Cristobal","informacion","Venezuela","Tachira","San Cristobal","Carrera 8, entre Avenida Espana y Calle Vista, antiguo Centro Operativo de CANTV, Sector Pueblo Nuevo, Parroquia San Juan Bautista","","","","","04242704187","","Orientacion y apoyo para acceso a derechos y servicios a refugiados y solicitantes de asilo","https://help.unhcr.org/venezuela/donde-encontrar-ayuda-2/organismos-internacionales/","ACNUR Venezuela","2026-06-26","Codex","alto","verificado","Fuente ACNUR Help Venezuela."
"ACNUR Maracaibo","informacion","Venezuela","Zulia","Maracaibo","Avenida 3H entre calle 80 y 81. Casa N.-80-33, Sector Santa Maria, Parroquia Santa Lucia","Diagonal a Pollos 3H","","","","04122631681 / 04242184133 / 04242180841 / 04242184096","","Orientacion y apoyo para acceso a derechos y servicios a refugiados y solicitantes de asilo","https://help.unhcr.org/venezuela/donde-encontrar-ayuda-2/organismos-internacionales/","ACNUR Venezuela","2026-06-26","Codex","alto","verificado","Fuente ACNUR Help Venezuela."
"CONARE Apure","informacion","Venezuela","Apure","Guasdualito","Calle Bolivar, frente a la plaza Bolivar, Casa de Gobierno, Oficina MPPRE, Parroquia Guasdualito, Municipio Paez","","","","lunes a jueves de 10:00 am a 3:00 pm","0278 3321016 / 0424 7676584","","Orientacion y tramites para solicitantes de refugio y personas refugiadas","https://help.unhcr.org/venezuela/donde-encontrar-ayuda-2/instituciones-publicas/","ACNUR Venezuela / CONARE","2026-06-26","Codex","alto","verificado","Entidad publica listada por ACNUR."
"Cruz Roja Venezolana - Hospital Carlos J. Bello Caracas","punto_medico","Venezuela","Distrito Capital","Caracas","Avenida Andres Bello, edificio Cruz Roja Venezolana N 4, Urb. San Bernardino","","","","","0212 5714380","","Servicios medicos y asistencia humanitaria de Cruz Roja","https://cruzroja.ve","Cruz Roja Venezolana","2026-06-26","Codex","alto","verificado","Listado oficial de filiales y centros de salud de Cruz Roja Venezolana."
"Cruz Roja Venezolana - Filial San Antonio del Tachira","punto_medico","Venezuela","Tachira","San Antonio del Tachira","Carrera 7, San Antonio del Tachira","","","","","0414 3799592","","Hospital Tipo I Cruz Roja Venezolana; servicios medicos y asistencia humanitaria","https://cruzroja.ve","Cruz Roja Venezolana","2026-06-26","Codex","alto","verificado","Zona fronteriza prioritaria; listado oficial CRV."
"Cruz Roja Venezolana - Filial Maracaibo","punto_medico","Venezuela","Zulia","Maracaibo","Avenida 11, esquina con Calle 83, Sector Veritas","","","","","0261 7986455","","Ambulatorio Urbano Tipo I; servicios medicos y asistencia humanitaria","https://cruzroja.ve","Cruz Roja Venezolana","2026-06-26","Codex","alto","verificado","Listado oficial CRV."
"Cruz Roja Venezolana - Filial Puerto Ayacucho","punto_medico","Venezuela","Amazonas","Puerto Ayacucho","Avenida Constitucion, cruce con la Calle Principal de Barrio Cataniapo","","","","","0416 4520708","","Centro Integral Cruz Roja Venezolana; servicios medicos y asistencia humanitaria","https://cruzroja.ve","Cruz Roja Venezolana","2026-06-26","Codex","alto","verificado","Listado oficial CRV."
"ACNUR Arauca - Punto de Atencion y Orientacion","informacion","Colombia","Arauca","Arauca","Calle 20 N 24-68, Barrio La Esperanza","","","","lunes a viernes 9:00 a.m. a 12:00 m. y 2:00 p.m. a 5:00 p.m.","","","Orientacion para personas refugiadas, migrantes, solicitantes de asilo, desplazadas y apatridas","https://help.unhcr.org/colombia/bienvenido-a/donde-encontrar-ayuda/oficinas-del-acnur/","ACNUR Colombia","2026-06-26","Codex","alto","verificado","ACNUR indica que en algunas ciudades atiende mediante PAO con socio Opcion Legal."
"ACNUR Cucuta","informacion","Colombia","Norte de Santander","Cucuta","Calle 15A N 3E-43, Barrio Caobos","","","","lunes a viernes 9:00 a.m. a 12:00 m. y 2:00 p.m. a 5:00 p.m.","","","Orientacion para poblacion refugiada y migrante, incluida poblacion venezolana","https://www.acnur.org/co/acnur/oficinas-en-colombia","ACNUR Colombia","2026-06-26","Codex","alto","verificado","Fuente oficial ACNUR Colombia."
